"","ProtClass","Target","Molecule","Scaffold"
"278","Secreted protein","TNFA","JGZTVRZGAMHMDD-AREMUKBSSA-N","Sca163807"
"279","Secreted protein","TNFA","JYXSGJWAMNTPRG-HSZRJFAPSA-N","Sca150079"
"280","Secreted protein","TNFA","WXCVOHBWBOAZLS-HXUWFJFHSA-N","Sca150079"
"281","Secreted protein","TNFA","GFIGHPAFLJOFHC-XMMPIXPASA-N","Sca163807"
"282","Secreted protein","TNFA","PABFXHQXSHPBJJ-RUZDIDTESA-N","Sca163818"
"283","Secreted protein","TNFA","WTCHSDSKRMUMDD-OZAIVSQSSA-N","Sca265743"
"284","Secreted protein","TNFA","MRABGDUHHKEVMA-LYGOMILNSA-N","Sca264407"
"285","Secreted protein","TNFA","HSKNVWDOYYTFOJ-HSZRJFAPSA-N","Sca163807"
"286","Secreted protein","TNFA","LITZWIRLAPNJMW-JOCHJYFZSA-N","Sca163977"
"287","Secreted protein","TNFA","GFNBETLJKGCEAJ-MUUNZHRXSA-N","Sca163818"
"288","Secreted protein","TNFA","HEFRSJYQVAKNAZ-WPNNEGNSSA-N","Sca264434"
"289","Secreted protein","TNFA","KKMDEELQLJYHQZ-DCWQJPKNSA-N","Sca264422"
"290","Secreted protein","TNFA","VDOWSKDQCMQOCN-ITCMONMYSA-N","Sca163818"
"291","Secreted protein","TNFA","QLFVYQZANSTHDO-FQEVSTJZSA-N","Sca150079"
"292","Secreted protein","TNFA","KWYPGPBYLJSFCV-WGAKKPHLSA-N","Sca163818"
"293","Secreted protein","TNFA","ANMLNJVXFBSDMU-SNSSHHSLSA-N","Sca163818"
"294","Secreted protein","TNFA","RHFKYNSMBHVYRH-MUUNZHRXSA-N","Sca163818"
"295","Secreted protein","TNFA","CEYGEGGSWNVPPZ-JOCHJYFZSA-N","Sca150079"
"296","Secreted protein","TNFA","HNSMCDJIXYKFJL-HRYTWTRCSA-N","Sca163818"
"297","Secreted protein","TNFA","AICXQOYNUNAFIC-CJFMBICVSA-N","Sca163818"
"298","Secreted protein","TNFA","YVPQHHKFAHQQFY-HHHXNRCGSA-N","Sca264407"
"299","Secreted protein","TNFA","RJAGOYVXQHHTMP-WUBHUQEYSA-N","Sca163818"
"300","Secreted protein","TNFA","ALKCSYJSICCJCM-AREMUKBSSA-N","Sca163818"
"301","Secreted protein","TNFA","YULZLMCWKDYBTR-FTJBHMTQSA-N","Sca265734"
"302","Secreted protein","TNFA","FTPWHFJTYZWOPY-ITCMONMYSA-N","Sca163818"
"303","Secreted protein","TNFA","RPIXUTROJMVGDZ-FXDYGKIASA-N","Sca163818"
"304","Secreted protein","TNFA","RBQNSPKXDVILSH-PSXMRANNSA-N","Sca264410"
"305","Secreted protein","TNFA","YJTJUEGLSJUQSI-MGBGTMOVSA-N","Sca163870"
"306","Secreted protein","TNFA","FYIRGASZSQQNLR-HSZRJFAPSA-N","Sca264364"
"307","Secreted protein","TNFA","RWJZICCJTSQJFD-RUZDIDTESA-N","Sca163818"
"308","Secreted protein","TNFA","YXAPCNWNHLUBAY-JGCGQSQUSA-N","Sca264383"
"309","Secreted protein","TNFA","IAGJLIHQBHYLPL-IQHZPMLTSA-N","Sca163818"
"310","Secreted protein","TNFA","ZSDMHFFHFDSYQU-HSZRJFAPSA-N","Sca150079"
"311","Secreted protein","TNFA","QPHZEBMMVJBDRZ-XMMPIXPASA-N","Sca163818"
"312","Secreted protein","TNFA","OMFGJZSSAVCFIY-SSEXGKCCSA-N","Sca163870"
"313","Secreted protein","TNFA","AUWCRYUPRHMNCJ-AREMUKBSSA-N","Sca163818"
"314","Secreted protein","TNFA","YULZLMCWKDYBTR-DCWQJPKNSA-N","Sca265734"
"315","Secreted protein","TNFA","UQNOVEOWSWDNDF-AREMUKBSSA-N","Sca163818"
"316","Secreted protein","TNFA","SISZTYKGUNKWOD-MUUNZHRXSA-N","Sca163818"
"317","Secreted protein","TNFA","QRJMASABBOESKY-RMOSNQSASA-N","Sca163818"
"318","Secreted protein","TNFA","JHEFYCSEQOCCCA-AREMUKBSSA-N","Sca264407"
"319","Secreted protein","TNFA","AOMGOKVXKMSVSB-HXUWFJFHSA-N","Sca150079"
"320","Secreted protein","TNFA","LLYJCPKPOUWCMM-AREMUKBSSA-N","Sca163807"
"321","Secreted protein","TNFA","MDQWZWSMKPNPNC-MUUNZHRXSA-N","Sca264444"
"322","Secreted protein","TNFA","LMYBJFMAZJIUKQ-MUUNZHRXSA-N","Sca264368"
"323","Secreted protein","TNFA","KADOKZCMNMHBTR-OAQYLSRUSA-N","Sca150079"
"324","Secreted protein","TNFA","ULNKKOHSJWPQBH-AREMUKBSSA-N","Sca163807"
"325","Secreted protein","TNFA","DGLDMCXCWYWOML-ZWAGFTRDSA-N","Sca163818"
"326","Secreted protein","TNFA","SPFZYFGGFOBYLL-QHCPKHFHSA-N","Sca264360"
"327","Secreted protein","TNFA","AOKGFVFNNCDRIH-MGBGTMOVSA-N","Sca163870"
"328","Secreted protein","TNFA","FLWYCQFWAYXXPS-RUZDIDTESA-N","Sca163818"
"329","Secreted protein","TNFA","LFPJYNKSPCTMQA-JOCHJYFZSA-N","Sca150079"
"330","Secreted protein","TNFA","BIVKESNWLPUQJF-HSZRJFAPSA-N","Sca163977"
"331","Secreted protein","TNFA","NBQYXQTUXNEFTJ-XMMPIXPASA-N","Sca264407"
"332","Secreted protein","TNFA","JBWLKPFUUULOFZ-FXDYGKIASA-N","Sca163818"
"333","Secreted protein","TNFA","MGXAFBGHCJUHMC-HHHXNRCGSA-N","Sca264407"
"334","Secreted protein","TNFA","CIWKNCSUDGRQMY-YASXMZIQSA-N","Sca163818"
"335","Secreted protein","TNFA","BIFMNKIXPZCDHB-MUUNZHRXSA-N","Sca264407"
"336","Secreted protein","TNFA","PYTXPVHJIDYQEO-RUZDIDTESA-N","Sca163818"
"337","Secreted protein","TNFA","XWBPFOWMRFEXOS-BQUQIILOSA-N","Sca264407"
"338","Secreted protein","TNFA","MKBKLAKFLDPFNW-QFIPXVFZSA-N","Sca150079"
"339","Secreted protein","TNFA","ACLBCFXZZJRMKL-AREMUKBSSA-N","Sca163807"
"340","Secreted protein","TNFA","MUUPTMXNJJHPHO-SSEXGKCCSA-N","Sca163870"
"341","Secreted protein","TNFA","JMUYZHBXAPIJST-XMMPIXPASA-N","Sca163807"
"342","Secreted protein","TNFA","YAUHDOATTPVDFL-HSZRJFAPSA-N","Sca163807"
"343","Secreted protein","TNFA","WUBUATFMXOJTOY-MUUNZHRXSA-N","Sca163818"
"344","Secreted protein","TNFA","DFGZUKURUZBFCF-HSZRJFAPSA-N","Sca150079"
"345","Secreted protein","TNFA","SRLGLYMFEUVUBS-SSEXGKCCSA-N","Sca163870"
"346","Secreted protein","TNFA","KUHNQPGNDPIRJW-RUZDIDTESA-N","Sca150079"
"347","Secreted protein","TNFA","OXDAXBUMKFQJHP-RUZDIDTESA-N","Sca163818"
"348","Secreted protein","TNFA","ANBVSSFGMCMMDD-MUUNZHRXSA-N","Sca264382"
"349","Secreted protein","TNFA","ZMXYWILPEQWXIY-OAQYLSRUSA-N","Sca150079"
"350","Secreted protein","TNFA","HQGDNERWBAPNFB-UHFFFAOYSA-N","Sca264431"
"351","Secreted protein","TNFA","LPJFJIGXLATALL-ZWAGFTRDSA-N","Sca163818"
"352","Secreted protein","TNFA","ZMVMRJBXLKMZQH-JGCGQSQUSA-N","Sca264387"
"353","Secreted protein","TNFA","HORFJXMNDRUASC-SIJZPPASSA-N","Sca163818"
"354","Secreted protein","TNFA","KFGIOORFNFXPJQ-PSXMRANNSA-N","Sca164015"
"355","Secreted protein","TNFA","QZZSRKCVQGTWFI-KWRHIPAJSA-N","Sca265739"
"356","Secreted protein","TNFA","QZZSRKCVQGTWFI-KWRHIPAJSA-N","Sca265737"
"357","Secreted protein","TNFA","NNNINAVNASMUPH-UHFFFAOYSA-N","Sca265805"
"358","Secreted protein","TNFA","RKRZFMWPVKNRPF-AJLMHGPESA-N","Sca264447"
"359","Secreted protein","TNFA","VLYULZSNSXSWHO-QXPUDEPPSA-N","Sca264413"
"360","Secreted protein","TNFA","AYHQPKVQZYDVMT-VYTXOHQDSA-N","Sca163818"
"361","Secreted protein","TNFA","DKNBENRYRTUHRN-GDLZYMKVSA-N","Sca163817"
"362","Secreted protein","TNFA","HTRUIAPEJOFNMQ-MUUNZHRXSA-N","Sca264407"
"363","Secreted protein","TNFA","UBJYKIFHJAGJCE-RUZDIDTESA-N","Sca163977"
"364","Secreted protein","TNFA","IACOVDKKTCMMGQ-NORZDRCHSA-N","Sca264434"
"365","Secreted protein","TNFA","OYSREZWFLMTDOM-AREMUKBSSA-N","Sca163807"
"366","Secreted protein","TNFA","BOYUDLNZMZMOHE-RUZDIDTESA-N","Sca163818"
"367","Secreted protein","TNFA","QIIFEWKYNUTMQJ-RUZDIDTESA-N","Sca163818"
"368","Secreted protein","TNFA","RQOBCIHEMUBWEK-KFTJTTPMSA-N","Sca163818"
"369","Secreted protein","TNFA","HAGMXLJFRPRPEB-OZAIVSQSSA-N","Sca265763"
"370","Secreted protein","TNFA","DTDBWBYWLBIJQQ-XMMPIXPASA-N","Sca163818"
"371","Secreted protein","TNFA","XCEQFNMMPTYJEH-HSZRJFAPSA-N","Sca264372"
"372","Secreted protein","TNFA","NFTZFUZHJUXHQR-QXPUDEPPSA-N","Sca163807"
"373","Secreted protein","TNFA","HFEYUSKLTLXTLZ-VCHQGTEKSA-N","Sca163817"
"374","Secreted protein","TNFA","UGQOIMPGEOZSRC-AREMUKBSSA-N","Sca163807"
"375","Secreted protein","TNFA","DFXMAMHUUYRAGG-XMMPIXPASA-N","Sca265730"
"376","Secreted protein","TNFA","RYRXXMRCLBFLHQ-PGUFJCEWSA-N","Sca163870"
"377","Secreted protein","TNFA","ABHVVLUTNCKKEX-IQHZPMLTSA-N","Sca163818"
"378","Motilin family","GHRL","AOGQBFWFOJRISL-SLPFSQKISA-N","Sca191521"
"379","Motilin family","GHRL","ZPEDBCLQAZTDDB-RMXYQJDTSA-N","Sca191450"
"380","Motilin family","GHRL","QSWZCBJMPATZGX-YTFNCPKPSA-N","Sca191454"
"381","Motilin family","GHRL","BZIKCOOHXAVETB-IZLXSDGUSA-N","Sca191457"
"382","Motilin family","GHRL","WUOSQYXJIXLPTP-LBHSSTRISA-N","Sca191539"
"383","Motilin family","GHRL","ADIOQAYPSGHDFT-OXTYCOSGSA-N","Sca191450"
"384","Motilin family","GHRL","RGRCEZBNFKRETF-OXTYCOSGSA-N","Sca191450"
"385","Motilin family","GHRL","HNXPBOGKWFGGJB-YRXNKSPZSA-N","Sca191533"
"386","Motilin family","GHRL","UKTFKKQZZNIQCZ-QIDJRYDTSA-N","Sca191454"
"387","Motilin family","GHRL","UMRFQLWVRFCHER-OXTYCOSGSA-N","Sca191450"
"388","Motilin family","GHRL","LJTYTDRCLZRSMN-FGCOXFRFSA-N","Sca88025"
"389","Motilin family","GHRL","RUNJTEIQKHMZSW-ZOSUSCCZSA-N","Sca191450"
"390","Motilin family","GHRL","RWYUFLWFQCYBIM-QFTSRTAKSA-N","Sca191447"
"391","Motilin family","GHRL","OJESPZZSUUGAKK-IWSNZJKDSA-N","Sca191454"
"392","Motilin family","GHRL","SBGLLABFHQIDCY-XWMYMNJZSA-N","Sca191450"
"393","Motilin family","GHRL","IEAUXEJFKGIBRN-IFGWQFMBSA-N","Sca191450"
"394","Motilin family","GHRL","DQJXOEHBWVVKTL-MIUUGJTFSA-N","Sca191530"
"395","Motilin family","GHRL","CKKKPTDEQLCSDS-WMSJLGCSSA-N","Sca191454"
"396","Motilin family","GHRL","HVNSCQHWQRWMCW-IEZKXTBUSA-N","Sca191454"
"397","Motilin family","GHRL","YCFXVRPRVAOADN-ZEQRLZLVSA-N","Sca191454"
"398","Motilin family","GHRL","MNXXIGLXENLOEX-RTWAWAEBSA-N","Sca191455"
"399","Motilin family","GHRL","ATPVOAOEYSJDIH-BKNUMKMGSA-N","Sca191527"
"400","Motilin family","GHRL","ARLDXWFDMIMAAS-ABNZCKJZSA-N","Sca191450"
"401","Motilin family","GHRL","XBPLNMSLGBYKCW-UFKXBGGNSA-N","Sca191450"
"402","Motilin family","GHRL","TUFREBLXGZQYFP-DJCWJLACSA-N","Sca191454"
"403","Motilin family","GHRL","HVNSCQHWQRWMCW-GVXSCFBNSA-N","Sca191454"
"404","Motilin family","GHRL","ZIWNXCOMNBPCJZ-RCXJIHSJSA-N","Sca191454"
"405","Motilin family","GHRL","WGYPAJVJMXQXTR-JQHOABPUSA-N","Sca191450"
"406","Motilin family","GHRL","OCWFJYXMVLSTDO-OTEJSBPHSA-N","Sca191536"
"407","Motilin family","GHRL","IJYGTBLRLXLFBP-UFKXBGGNSA-N","Sca191450"
"408","Motilin family","GHRL","IBAKCVVTOJIOEN-ZIXQQCMUSA-N","Sca191525"
"409","Motilin family","GHRL","JUOIJNCKYQXFOF-BJYFBGGTSA-N","Sca191450"
"410","Motilin family","GHRL","ZNYRUNOEPRPORZ-SUNQPCDNSA-N","Sca191450"
"411","Motilin family","GHRL","ZMOMZJDEWSTKIL-WMBPSLEXSA-N","Sca191450"
"412","Motilin family","GHRL","YCFXVRPRVAOADN-BJKOFHAPSA-N","Sca191454"
"413","Motilin family","GHRL","IHPKBGRMJNCAJW-BJKOFHAPSA-N","Sca191454"
"414","Motilin family","GHRL","QTYKFOHHZIMYIT-SBPKXREESA-N","Sca88025"
"415","Motilin family","GHRL","XGOUIBKZLDCMGX-SUNQPCDNSA-N","Sca191454"
"416","Motilin family","GHRL","ZWIXEQBDJMFCMN-DHHNQDMHSA-N","Sca191450"
"417","Motilin family","GHRL","AHLASMIVHIZXPP-RCUSWNFXSA-N","Sca88025"
"418","Motilin family","GHRL","QPKPRCCPPDTWIJ-OXTYCOSGSA-N","Sca191450"
"419","Motilin family","GHRL","WUOSQYXJIXLPTP-ABXDHCHGSA-N","Sca191539"
"420","Other nuclear protein","IF4E","XCCLFPUBQTZIEH-SCFUHWHPSA-N","Sca201374"
"421","Other nuclear protein","IF4E","MCYZBWKMUOPJOU-UHFFFAOYSA-N","Sca201383"
"422","Other nuclear protein","IF4E","DKVRNHPCAOHRSI-KQYNXXCUSA-N","Sca201381"
"423","Other nuclear protein","IF4E","DKVRNHPCAOHRSI-KQYNXXCUSA-N","Sca152719"
"424","Other nuclear protein","IF4E","DKVRNHPCAOHRSI-KQYNXXCUSA-N","Sca152721"
"425","Other nuclear protein","IF4E","CNNKPJYFPGUGLQ-UHFFFAOYSA-N","Sca201383"
"426","Other nuclear protein","IF4E","RHMQELFSDNQEBP-SCFUHWHPSA-N","Sca152718"
"427","Other nuclear protein","IF4E","ZIPYKPGMJNDUSX-UHFFFAOYSA-N","Sca201383"
"428","Other nuclear protein","IF4E","QWFXGVANFMDSMH-LSCFUAHRSA-N","Sca152718"
"429","Other nuclear protein","IF4E","PYFSHRHJFPDMPM-NVQRDWNXSA-N","Sca201379"
"430","Other nuclear protein","IF4E","OSDHZJVAKUMRCL-LSCFUAHRSA-N","Sca152718"
"431","Other nuclear protein","IF4E","YCZIVALBOMAUFR-LSCFUAHRSA-N","Sca152718"
"432","Urotensin-2 family","UTS2","UIZHOFJFIOCYLH-UHFFFAOYSA-N","Sca7"
"433","Wnt family","WNT3A","ZBJVKCDYVCVOIF-UHFFFAOYSA-N","Sca226439"
"434","Wnt family","WNT3A","DYGBNAYFDZEYBA-UHFFFAOYSA-N","Sca226439"
"435","Wnt family","WNT3A","KLGQSVMIPOVQAX-UHFFFAOYSA-N","Sca154353"
"436","Wnt family","WNT3A","WMOFKDNPUXQKFI-UHFFFAOYSA-N","Sca226428"
"437","Wnt family","WNT3A","NTQHXNALUQPZJR-UHFFFAOYSA-N","Sca226437"
"438","Wnt family","WNT3A","CCVBOAMGJQRBBT-UHFFFAOYSA-N","Sca226440"
"439","Wnt family","WNT3A","LBFYQISQYCGDDW-UHFFFAOYSA-N","Sca253173"
"440","Wnt family","WNT3A","GXCGSCMUTWIBEU-UHFFFAOYSA-N","Sca226440"
"441","Wnt family","WNT3A","HVPUASJORDGFQX-UHFFFAOYSA-N","Sca226428"
"442","Wnt family","WNT3A","SUKHPNUTRMBUST-UHFFFAOYSA-N","Sca226432"
"443","Wnt family","WNT3A","AHJJFIGHBOPXKV-UHFFFAOYSA-N","Sca226428"
"444","Wnt family","WNT3A","JDRRUNIVJVAXBH-UHFFFAOYSA-N","Sca226434"
"445","Wnt family","WNT3A","IAGKBCUKKSAKTF-UHFFFAOYSA-N","Sca226430"
"446","Wnt family","WNT3A","TWJFMOWGAAKBEI-UHFFFAOYSA-N","Sca226440"
"447","Wnt family","WNT3A","SKYFUELJMZKOQQ-UHFFFAOYSA-N","Sca226445"
"448","Wnt family","WNT3A","ZWIJUUMFHSAWDX-UHFFFAOYSA-N","Sca226440"
"449","Wnt family","WNT3A","ZGSXEXBYLJIOGF-IDPBPBMLSA-N","Sca136886"
"450","Wnt family","WNT3A","LQZSHPITKSPDLC-UHFFFAOYSA-N","Sca308958"
"451","Wnt family","WNT3A","LQZSHPITKSPDLC-UHFFFAOYSA-N","Sca179902"
"452","Wnt family","WNT3A","LQZSHPITKSPDLC-UHFFFAOYSA-N","Sca174827"
"453","Wnt family","WNT3A","LQZSHPITKSPDLC-UHFFFAOYSA-N","Sca165424"
"454","Wnt family","WNT3A","ZMGPDWHTUMUFPT-UHFFFAOYSA-N","Sca171472"
"455","Wnt family","WNT3A","ZMGPDWHTUMUFPT-UHFFFAOYSA-N","Sca165305"
"456","Wnt family","WNT3A","HQPRJYQZDYZZOA-UHFFFAOYSA-N","Sca308958"
"457","Wnt family","WNT3A","HQPRJYQZDYZZOA-UHFFFAOYSA-N","Sca179902"
"458","Wnt family","WNT3A","HQPRJYQZDYZZOA-UHFFFAOYSA-N","Sca174827"
"459","Wnt family","WNT3A","HQPRJYQZDYZZOA-UHFFFAOYSA-N","Sca165424"
"460","Wnt family","WNT3A","KRIKILRRJCIWNB-UHFFFAOYSA-N","Sca171472"
"461","Wnt family","WNT3A","KRIKILRRJCIWNB-UHFFFAOYSA-N","Sca165305"
"462","Wnt family","WNT3A","NBISXOSUCKEWEA-UHFFFAOYSA-N","Sca171472"
"463","Wnt family","WNT3A","NBISXOSUCKEWEA-UHFFFAOYSA-N","Sca165305"
"464","Other membrane protein","HG2A","QCVFWWFGAKRNHR-UHFFFAOYSA-N","Sca82630"
"465","Other membrane protein","HG2A","JBLOHPBDSXSVNC-UHFFFAOYSA-N","Sca82919"
"466","Other membrane protein","HG2A","OMDGGXZLVWQNQJ-UHFFFAOYSA-N","Sca82891"
"467","Other membrane protein","HG2A","DXZBVPJKNGQDSA-UHFFFAOYSA-N","Sca82891"
"468","Other membrane protein","HG2A","AMSFCNUCSFWCJW-UHFFFAOYSA-N","Sca82891"
"469","Other membrane protein","HG2A","FGUVGHPZGGMLJY-UHFFFAOYSA-N","Sca82630"
"470","Other membrane protein","HG2A","LYFKQHVCRNURSR-UHFFFAOYSA-N","Sca82655"
"471","Ubiquitin-activating E1 family","UBA6","PGAMXUGSHMQFKD-BPAMBQHCSA-N","Sca204839"
"472","Ubiquitin-activating E1 family","UBA6","PGAMXUGSHMQFKD-BPAMBQHCSA-N","Sca197763"
"473","Peptidase T1B family","PSB10","UHNYITHLNFUAIN-VTNASVEKSA-N","Sca244798"
"474","Peptidase T1B family","PSB10","WQAVPPWWLLVGFK-VTNASVEKSA-N","Sca240075"
"475","Calcitonin family","CALCA","CGDZXLJGHVKVIE-DNVCBOLYSA-N","Sca98586"
"476","Calcitonin family","CALCA","AZAANWYREOQRFB-SETSBSEESA-N","Sca200478"
"477","Calcitonin family","CALCA","AZAANWYREOQRFB-SETSBSEESA-N","Sca189892"
"478","Calcitonin family","CALCA","DNKYDHSONDSTNJ-XJVRLEFXSA-N","Sca6321"
"479","Calcitonin family","CALCA","BXNUIUWCMHAHET-OAQYLSRUSA-N","Sca77536"
"480","Calcitonin family","CALCA","ITIXDWVDFFXNEG-JHOUSYSJSA-N","Sca77534"
"481","Calcitonin family","CALCA","QBDDCUKCEKLYLG-UHFFFAOYSA-N","Sca189903"
"482","Calcitonin family","CALCA","NDACAFBDTQIYCQ-YVQXRMNASA-N","Sca6321"
"483","ADP-ribosyl cyclase family","CD38","HJCHDZGEJHNQGD-WKILWMFISA-N","Sca255035"
"484","ADP-ribosyl cyclase family","CD38","HGZNNZYWRLBABG-SHTZXODSSA-N","Sca255033"
"485","ADP-ribosyl cyclase family","CD38","KEKZQVPNLJQCJI-HDJSIYSDSA-N","Sca255033"
"486","ADP-ribosyl cyclase family","CD38","HRPDLIRHUMUQDQ-KOMQPUFPSA-N","Sca255033"
"487","ADP-ribosyl cyclase family","CD38","UIVBIWLDRWZDHF-UHFFFAOYSA-N","Sca255039"
"488","ADP-ribosyl cyclase family","CD38","CSWOETBECUDEEP-UHFFFAOYSA-N","Sca255035"
"489","ADP-ribosyl cyclase family","CD38","XUKGFHFFJJOKKL-UHFFFAOYSA-N","Sca255039"
"490","ADP-ribosyl cyclase family","CD38","FUFNYUQVVHGFLC-UHFFFAOYSA-N","Sca419"
"491","ADP-ribosyl cyclase family","CD38","YBWVXXAXRAVRND-UHFFFAOYSA-N","Sca255033"
"492","ADP-ribosyl cyclase family","CD38","FIQSZTRGRSNAMH-MQMHXKEQSA-N","Sca255035"
"493","ADP-ribosyl cyclase family","CD38","KYBPXBQXLVGFOP-UHFFFAOYSA-N","Sca255039"
"494","ADP-ribosyl cyclase family","CD38","DLBNZKGJZYSGJF-CTYIDZIISA-N","Sca255033"
"495","ADP-ribosyl cyclase family","CD38","XPEBLJSPHXLWGT-HDJSIYSDSA-N","Sca255042"
"496","ADP-ribosyl cyclase family","CD38","OQXFWZCVLGUTPB-IYARVYRRSA-N","Sca255033"
"497","ADP-ribosyl cyclase family","CD38","QTPNZZJIUZTFRK-UHFFFAOYSA-N","Sca255039"
"498","ADP-ribosyl cyclase family","CD38","HJBLPDHCMRUFHW-WKILWMFISA-N","Sca255033"
"499","ADP-ribosyl cyclase family","CD38","KYZOKRJDUREGKD-HDJSIYSDSA-N","Sca255047"
"500","ADP-ribosyl cyclase family","CD38","QACJQHGIQZKMAR-UHFFFAOYSA-N","Sca255035"
"501","ADP-ribosyl cyclase family","CD38","BVXZLOGAKHSZND-CTYIDZIISA-N","Sca255035"
"502","ADP-ribosyl cyclase family","CD38","AEIHHQCRNRWFDR-HDJSIYSDSA-N","Sca255039"
"503","ADP-ribosyl cyclase family","CD38","QADCFCAKUGGZJW-MQMHXKEQSA-N","Sca255039"
"504","ADP-ribosyl cyclase family","CD38","IDGSKYUWGRYWPT-UHFFFAOYSA-N","Sca255049"
"505","ADP-ribosyl cyclase family","CD38","SOJGGKJWRAVHNW-WKILWMFISA-N","Sca255047"
"506","ADP-ribosyl cyclase family","CD38","JQZFVAWTPLKKSF-UHFFFAOYSA-N","Sca255051"
"507","ADP-ribosyl cyclase family","CD38","XONPLHPMAURMJL-UHFFFAOYSA-N","Sca255039"
"508","ADP-ribosyl cyclase family","CD38","BXZGSIDSJSGAJE-UHFFFAOYSA-N","Sca419"
"509","ADP-ribosyl cyclase family","CD38","XQJZHWDHSXMPFF-KOMQPUFPSA-N","Sca255039"
"510","ADP-ribosyl cyclase family","CD38","VOHWAEFKDIHGLY-IYARVYRRSA-N","Sca255033"
"511","ADP-ribosyl cyclase family","CD38","VJQALSOBHVEJQM-QAQDUYKDSA-N","Sca255033"
"512","ADP-ribosyl cyclase family","CD38","DMHJHSKVAFHFOT-UHFFFAOYSA-N","Sca255039"
"513","ADP-ribosyl cyclase family","CD38","UPPIWUSHSPAOJF-CHWSQXEVSA-N","Sca255039"
"514","ADP-ribosyl cyclase family","CD38","WWQZYHBACWHPRN-UHFFFAOYSA-N","Sca419"
"515","ADP-ribosyl cyclase family","CD38","IWZDHCYXTXFDQX-UHFFFAOYSA-N","Sca419"
"516","ADP-ribosyl cyclase family","CD38","AEOVRVHUZLTCMU-MQMHXKEQSA-N","Sca255042"
"517","ADP-ribosyl cyclase family","CD38","DMFWZMBVUGWLCQ-UHFFFAOYSA-N","Sca255039"
"518","ADP-ribosyl cyclase family","CD38","ZLSZDEARRQRWGO-UHFFFAOYSA-N","Sca419"
"519","ADP-ribosyl cyclase family","CD38","ZWGQYCJBHPXEPF-UHFFFAOYSA-N","Sca255039"
"520","ADP-ribosyl cyclase family","CD38","BIFSNDSAGPUPAP-UHFFFAOYSA-N","Sca255039"
"521","ADP-ribosyl cyclase family","CD38","PHNISBVYCVYISH-UHFFFAOYSA-N","Sca255039"
"522","ADP-ribosyl cyclase family","CD38","KSZUULRZDQCWCH-UHFFFAOYSA-N","Sca419"
"523","ADP-ribosyl cyclase family","CD38","SBFSSKKJPPYCSR-UHFFFAOYSA-N","Sca255039"
"524","ADP-ribosyl cyclase family","CD38","MQZXDPKDXSHACX-UHFFFAOYSA-N","Sca255042"
"525","ADP-ribosyl cyclase family","CD38","WJIVDQUOECKURQ-AULYBMBSSA-N","Sca255039"
"526","ADP-ribosyl cyclase family","CD38","LVKIZZWITJCZAO-AULYBMBSSA-N","Sca255039"
"527","ADP-ribosyl cyclase family","CD38","CFRVEJULVHOSOC-UHFFFAOYSA-N","Sca419"
"528","ADP-ribosyl cyclase family","CD38","MFSSHCDVFJPDHJ-UHFFFAOYSA-N","Sca255039"
"529","ADP-ribosyl cyclase family","CD38","CDXXZIOUJHVQMO-CTYIDZIISA-N","Sca255039"
"530","ADP-ribosyl cyclase family","CD38","DOPAYNPSNQQSRM-KOMQPUFPSA-N","Sca255033"
"531","ADP-ribosyl cyclase family","CD38","PJJIVROEUNEVOG-UHFFFAOYSA-N","Sca133032"
"532","ADP-ribosyl cyclase family","CD38","UXMBUALLBSVFNJ-UHFFFAOYSA-N","Sca419"
"533","ADP-ribosyl cyclase family","CD38","VTRMEFAHIDGTBJ-UHFFFAOYSA-N","Sca255033"
"534","ADP-ribosyl cyclase family","CD38","LVSOXTLPGDTVEC-DOMZBBRYSA-N","Sca255039"
"535","ADP-ribosyl cyclase family","CD38","ADFAWIIDRUZFJT-SHTZXODSSA-N","Sca255035"
"536","ADP-ribosyl cyclase family","CD38","CDSXVXMUMRBIGJ-UHFFFAOYSA-N","Sca419"
"537","ADP-ribosyl cyclase family","CD38","CZTGOQSKCZVGPO-UHFFFAOYSA-N","Sca255039"
"538","ADP-ribosyl cyclase family","CD38","LVSOXTLPGDTVEC-WFASDCNBSA-N","Sca255039"
"539","ADP-ribosyl cyclase family","CD38","QGWDWRRZTVUVKB-QAQDUYKDSA-N","Sca255035"
"540","ADP-ribosyl cyclase family","CD38","QZSMIFYJVNGNEY-UHFFFAOYSA-N","Sca255039"
"541","ADP-ribosyl cyclase family","CD38","HMWAKSCAHPAVEE-UHFFFAOYSA-N","Sca255039"
"542","ADP-ribosyl cyclase family","CD38","HNDMAVYDWZHBTK-UHFFFAOYSA-N","Sca255039"
"543","ADP-ribosyl cyclase family","CD38","DZNPBSFQHHTVEI-UHFFFAOYSA-N","Sca255039"
"544","ADP-ribosyl cyclase family","CD38","ZSSLQHTYYXEMJM-UHFFFAOYSA-N","Sca1262"
"545","ADP-ribosyl cyclase family","CD38","JSPUEGWBSKAOJC-UHFFFAOYSA-N","Sca255043"
"546","ADP-ribosyl cyclase family","CD38","RZRYAHXQLVPLIH-UHFFFAOYSA-N","Sca255039"
"547","ADP-ribosyl cyclase family","CD38","VOXXOUBHHMGKFF-UHFFFAOYSA-N","Sca255039"
"548","ADP-ribosyl cyclase family","CD38","LPXYMTVRTJZZMF-WKILWMFISA-N","Sca255041"
"549","ADP-ribosyl cyclase family","CD38","AMCACEZHPHGRQX-UHFFFAOYSA-N","Sca11"
